continent, Population_Change
Canada,-3826797.0
Sao Tome and Principe,331588.0
Saint Helena,7925.0
Falkland Island,-1858.0
Serbia and Montenegro,-3845842.0
Lithuania,-1088627.0
Cambodia,22530952.0
Ethiopia,176779176.0
Aruba,-5009.0
Swaziland,-474813.0
Svalbard and Jan Mayen Islands,1811.0
Belize,-28764.0
Argentina,35100121.0
Cameroon,9214184.0
Ghana,25420140.0
Saudi Arabia,35037519.0
American Samoa,-21382.0
Slovenia,-837983.0
Guatemala,19774185.0
Kuwait,5745932.0
Germany,-10448672.0
Spain,-16949632.0
Liberia,11158058.0
Maldives,1445695.0
Jamaica,785027.0
Oman,5415987.0
Tanzania,44455612.0
Martinique,46731.0
Costa Rica,2865720.0
United States Virgin Islands,13185.0
Isle of Man,31880.0
Gabon,1302953.0
Niue,-15.0
Monaco,8684.0
Wallis and Futuna,20.0
New Zealand,1321905.0
Yemen,141752448.0
Jersey,80904.0
Pakistan,332007196.0
Albania,181996.0
Samoa,-31240.0
Macau,219550.0
United Arab Emirates,-250996.0
Guam,-71899.0
Viet Nam,37409964.0
Saint Vincent and the Grenadines,57909.0
Kenya,9487011.0
Turkey,14319960.0
Bangladesh,120134994.0
Mauritania,4268598.0
Solomon Islands,-136340.0
India,463957608.0
Saint Lucia,41075.0
San Marino,-22272.0
French Polynesia,-59527.0
France,2533138.0
Bermuda,86414.0
Somalia,53195082.0
Peru,32605137.0
Laos,6902671.0
Republic of Congo,14992480.0
Nauru,1831.0
Norway,-231469.0
Malawi,18036788.0
Cook Islands,-4207.0
Benin,14931380.0
Singapore,-1209000.0
United States of America,94769591.0
Saint Kitts and Nevis,-5439.0
Togo,8725726.0
China,231368564.0
Timor-Leste,-785255.0
Dominican Republic,4322894.0
Ukraine,-21213487.0
Bahrain,78215.0
Tonga,-17605.0
Finland,-1500505.0
Libya,5579196.0
Indonesia,59078954.0
Mauritius,716980.0
Sweden,-1408464.0
Belarus,-4160506.0
Occupied Palestinian Territory,13477082.0
Mali,46997563.0
Russia,-64141123.0
Bulgaria,-3903028.0
Romania,-9787583.0
Angola,30584731.0
Portugal,-2846887.0
South Africa,-7722713.0
Tokelau,130.0
Fiji,-460819.0
Malaysia,12087120.0
Senegal,17622889.0
Mozambique,21313252.0
Japan,-27316981.0
Brazil,85282114.0
Guinea,26299345.0
Panama,4075267.0
Qatar,-666866.0
Luxembourg,167935.0
Cape Verde,-119500.0
Bahamas,373409.0
British Virgin Islands,-347.0
Gibraltar,-13721.0
Ireland,453418.0
Italy,-27653300.0
Nigeria,80118638.0
Ecuador,7902388.0
Northern Mariana Islands,-11870.0
Brunei,311532.0
Australia,5600738.0
Iran,13384853.0
Algeria,20558085.0
El Salvador,5626240.0
Tuvalu,-5483.0
Pitcairn Islands,59.0
Saint Pierre and Miquelon,15504.0
Marshall Islands,-16900.0
Chile,12218669.0
Puerto Rico,110965.0
Belgium,-316582.0
Thailand,13828281.0
Haiti,5204458.0
Iraq,53264406.0
Sierra Leone,12040840.0
Georgia,-1937055.0
Gambia,1474778.0
Philippines,45064722.0
Guinea Bissau,7323074.0
Moldova,-665427.0
French Guiana,327612.0
Morocco,16703028.0
Namibia,281754.0
Malta,-29468.0
Guernsey,53540.0
Kiribati,-59537.0
Switzerland,-2559009.0
Grenada,42043.0
Seychelles,632107.0
Estonia,-870053.0
Uruguay,5406807.0
Mexico,52806803.0
Lebanon,1448154.0
Tunisia,2837679.0
Djibouti,679720.0
Greenland,-8328.0
Republic of Korea,-8065520.0
Dominica,23248.0
Colombia,40363655.0
Reunion,268177.0
Antigua and Barbuda,-667.0
Taiwan,24773966.0
Cyprus,-216199.0
Barbados,128282.0
Madagascar,46428626.0
Palau,12199.0
Sudan,27291214.0
Vanuatu,-87805.0
Micronesia,-22790.0
Democratic Republic of the Congo,141619231.0
Netherlands,152089.0
Suriname,-33951.0
Cayman Islands,-26957.0
Anguilla,-3655.0
Venezuela,29132685.0
Turks and Caicos Islands,-8651.0
Netherlands Antilles,14794.0
Israel,5795151.0
Iceland,79570.0
Papua New Guinea,2996939.0
Cote d'Ivoire,18527848.0
Jordan,6627651.0
Denmark,-521622.0
Poland,-15014552.0
Eritrea,8282628.0
Bosnia,-2545474.0
Mayotte,288829.0
Montserrat,-1438.0
New Caledonia,-247949.0
Macedonia,-19773.0
Trinidad and Tobago,-64353.0
Latvia,-1321604.0
Guyana,-578557.0
Syria,23839247.0
Guadeloupe,29224.0
Honduras,9473184.0
Myanmar,18590078.0
Equatorial Guinea,-71994.0
Egypt,98218770.0
Nicaragua,11516550.0
Faeroe Islands,-5285.0
Cuba,-1500331.0
Democratic People's Republic of Korea,-548390.0
United Kingdom,12278592.0
Greece,-3725611.0
Sri Lanka,3304324.0
Croatia,-1702072.0
